"filename", "language", "Rust", "comment", "blank", "total"
"/home/endre/rust_crates/micro_sp/src/core/compositional.rs", "Rust", 27, 14, 5, 46
"/home/endre/rust_crates/micro_sp/src/core/incremental.rs", "Rust", 178, 20, 18, 216
"/home/endre/rust_crates/micro_sp/src/core/items.rs", "Rust", 146, 17, 11, 174
"/home/endre/rust_crates/micro_sp/src/core/mod.rs", "Rust", 8, 0, 2, 10
"/home/endre/rust_crates/micro_sp/src/core/parameterized.rs", "Rust", 136, 29, 12, 177
"/home/endre/rust_crates/micro_sp/src/core/predicates.rs", "Rust", 42, 5, 3, 50
"/home/endre/rust_crates/micro_sp/src/core/tests/incremental.rs", "Rust", 81, 1, 6, 88
"/home/endre/rust_crates/micro_sp/src/core/tests/items.rs", "Rust", 223, 0, 13, 236
"/home/endre/rust_crates/micro_sp/src/core/tests/mod.rs", "Rust", 5, 0, 2, 7
"/home/endre/rust_crates/micro_sp/src/core/tests/parameterized.rs", "Rust", 209, 0, 26, 235
"/home/endre/rust_crates/micro_sp/src/core/tests/predicates.rs", "Rust", 100, 0, 19, 119
"Total", "-", 1155, 86, 117, 1358
