encoding LpMeBiSsRsGnTsDnPn LpMiBiSsRsGnTsDnPn LeMiBiSsRsGnTsDnPn
instance_1 0.1314 0.1311 0.1433
instance_2 0.1895 0.1795 0.1696
instance_3 0.1338 0.1370 0.1375
instance_4 0.6366 0.3913 0.4136
instance_5 0.5075 0.3373 0.3025
instance_6 1.5000 0.679 0.5597
instance_7 1.3184 0.714 0.6227
instance_8 1.0514 0.554 0.4864
instance_9 9.2241 0.360 1.5233
instance_10 12.5997 3.7355 2.9581
instance_11 67.2049 9.7586 7.3887
instance_12 46.0949 5.9059 4.3749
instance_13 47.7728 7.3220 4.2791
instance_14 135.7618 11.1660 5.7062
instance_15 25.2897 4.9255 3.0423
instance_16 372.8361 76.4590 19.3804
instance_17 263.8792 38.3676 14.1776
instance_18 233.2581 28.1263 11.1086
instance_19 383.7710 114.3672 40.9992
instance_20 307.0061 129.7305 39.1921
instance_21 344.0204 166.6908 47.7334
instance_22 388.9933 144.1802 59.3588
instance_23 321.1158 197.4882 103.6486
instance_24 323.9705 232.5546 59.2234
instance_25 322.1505 317.6990 120.9681
instance_26 354.3172 384.4412 75.0369
instance_27 338.6141 327.0230 203.9360
instance_28 366.4804 308.7404 259.0426
instance_29 387.0920 314.7393 396.3797
instance_30 434.5061 323.6848 384.4821
instance_31 380.8998 317.5906 341.8585
instance_32 337.6643 375.3709 326.5902
instance_33 378.6624 409.8439 303.5368
instance_34 367.9214 479.5932 310.6813
instance_35 309.0346 329.3366 345.7318
instance_36 425.3695 346.2221 318.5870
instance_37 456.6717 323.5522 327.1771
instance_38 384.6932 304.9753 313.0033
instance_39 307.3367 371.5568 311.6196
instance_40 424.4295 342.4066 303.9566
instance_41 334.2882 321.2738 312.8248
instance_42 437.2924 324.4846 316.1723
