encoding LpMeBiSsRsGnTsDnPn LpMiBiSsRsGnTsDnPn
instance_1 0.1314 0.1311
instance_2 0.1895 0.1795
instance_3 0.1338 0.1370
instance_4 0.6366 0.3913
instance_5 0.5075 0.3373
instance_6 1.5000 0.679
instance_7 1.3184 0.714
instance_8 1.0514 0.554
instance_9 9.2241 0.360
instance_10 12.5997 3.7355
instance_11 67.2049 9.7586
instance_12 46.0949 5.9059
instance_13 47.7728 7.3220
instance_14 135.7618 11.1660
instance_15 25.2897 4.9255
instance_16 372.8361 76.4590
instance_17 263.8792 38.3676
instance_18 233.2581 28.1263
instance_19 383.7710 114.3672
instance_20 307.0061 129.7305
instance_21 344.0204 166.6908
instance_22 388.9933 144.1802
instance_23 321.1158 197.4882
instance_24 323.9705 232.5546
instance_25 322.1505 317.6990
instance_26 354.3172 384.4412
instance_27 338.6141 327.0230
instance_28 366.4804 308.7404
instance_29 387.0920 314.7393
instance_30 434.5061 323.6848
instance_31 380.8998 317.5906
instance_32 337.6643 375.3709
instance_33 378.6624 409.8439
instance_34 367.9214 479.5932
instance_35 309.0346 329.3366
instance_36 425.3695 346.2221
instance_37 456.6717 323.5522
instance_38 384.6932 304.9753
instance_39 307.3367 371.5568
instance_40 424.4295 342.4066
instance_41 334.2882 321.2738
instance_42 437.2924 324.4846
